"CODIGO_INSTITUICAO";"INSTITUICAO";"TIPO"
167;"ABC-BRASIL (conglomerado)";"Conglomerado"
168;"AGIBANK (conglomerado)";"Conglomerado"
169;"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO";"Banco/financeira"
170;"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO";"Banco/financeira"
171;"ALFA (conglomerado)";"Conglomerado"
172;"ANDBANK (conglomerado)";"Conglomerado"
173;"BANCO ABN AMRO S.A.";"Banco/financeira"
174;"BANCO ARBI S.A.";"Banco/financeira"
175;"BANCO CNH INDUSTRIAL CAPITAL S.A.";"Banco/financeira"
176;"BANCO CSF S.A.";"Banco/financeira"
177;"BANCO DA AMAZONIA S.A.";"Banco/financeira"
178;"BANCO DA CHINA BRASIL S.A.";"Banco/financeira"
179;"BANCO DE LAGE LANDEN BRASIL S.A.";"Banco/financeira"
180;"BANCO DIGIMAIS S.A.";"Banco/financeira"
181;"BANCO DIGIO S.A.";"Banco/financeira"
182;"BANCO DO ESTADO DE SERGIPE S.A.";"Banco/financeira"
183;"BANCO DO ESTADO DO PARÁ S.A.";"Banco/financeira"
184;"BANCO DO NORDESTE DO BRASIL S.A.";"Banco/financeira"
185;"BANCO FIBRA S.A.";"Banco/financeira"
186;"BANCO FIDIS S/A";"Banco/financeira"
187;"BANCO INBURSA S.A.";"Banco/financeira"
188;"BANCO JOHN DEERE S.A.";"Banco/financeira"
189;"BANCO LUSO BRASILEIRO S.A.";"Banco/financeira"
190;"BANCO OURINVEST S.A.";"Banco/financeira"
191;"BANCO PAULISTA S.A.";"Banco/financeira"
192;"BANCO SEMEAR S.A.";"Banco/financeira"
193;"BANCO SENFF S.A.";"Banco/financeira"
194;"BANCO TOPÁZIO S.A.";"Banco/financeira"
195;"BANCO TOYOTA DO BRASIL S.A.";"Banco/financeira"
196;"BANCO TRIANGULO S.A.";"Banco/financeira"
197;"BANCO TRICURY S.A.";"Banco/financeira"
198;"BANCOOB (conglomerado)";"Conglomerado"
199;"BANESTES (conglomerado)";"Conglomerado"
200;"BANRISUL (conglomerado)";"Conglomerado"
201;"BARIGUI (conglomerado)";"Conglomerado"
202;"BB (conglomerado)";"Conglomerado"
203;"BMG (conglomerado)";"Conglomerado"
204;"BNP PARIBAS (conglomerado)";"Conglomerado"
205;"BNY MELLON (conglomerado)";"Conglomerado"
206;"BRADESCO (conglomerado)";"Conglomerado"
207;"BRB (conglomerado)";"Conglomerado"
208;"BTG PACTUAL (conglomerado)";"Conglomerado"
209;"C6 BANK (conglomerado)";"Conglomerado"
210;"CAIXA ECONÔMICA FEDERAL (conglomerado)";"Conglomerado"
211;"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO";"Banco/financeira"
212;"CCB (conglomerado)";"Conglomerado"
213;"CITIBANK (conglomerado)";"Conglomerado"
214;"COLOMBO (conglomerado)";"Conglomerado"
215;"CREFISA (conglomerado)";"Conglomerado"
216;"DAYCOVAL (conglomerado)";"Conglomerado"
217;"DEUTSCHE BANK S.A. - BANCO ALEMAO";"Banco/financeira"
218;"FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO";"Banco/financeira"
219;"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO";"Banco/financeira"
220;"FINAXIS (conglomerado)";"Conglomerado"
